timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2023-07-13T12:59:19,SuperYOLO,3b44cf06-1e6e-4fd4-ad89-2270f196ee28,43.65636372566223,0.0004299990234584,9.849629853748849e-06,74.59384626222,0.0,82.51698303222658,0.000900728836138,0.0,0.0010002730536318,0.0019010018897699,Italy,ITA,the marches,,,Linux-5.4.0-104-generic-x86_64-with-glibc2.17,3.8.13,2.2.5,48,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,1 x GeForce RTX 2080 Ti,13.5086,43.5939,220.0452880859375,machine,N,1.0
2023-07-13T13:04:26,SuperYOLO,c14f8b67-7c70-41d1-baae-5a42fd254016,41.24771738052368,0.0004068623469624,9.863875453010864e-06,74.5864273048058,0.0,82.51698303222658,0.0008537351543764,0.0,0.0009449807688161,0.0017987159231926,Italy,ITA,the marches,,,Linux-5.4.0-104-generic-x86_64-with-glibc2.17,3.8.13,2.2.5,48,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,1 x GeForce RTX 2080 Ti,13.5086,43.5939,220.0452880859375,machine,N,1.0
2023-07-13T13:09:32,SuperYOLO,26ee271c-1367-43cc-ac88-f2610a30bfc3,42.570637702941895,0.0004195326443878,9.854976740432508e-06,74.64052036177154,0.0,82.51698303222658,0.0008793801835035,0.0,0.0009753504235269,0.0018547306070305,Italy,ITA,the marches,,,Linux-5.4.0-104-generic-x86_64-with-glibc2.17,3.8.13,2.2.5,48,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,1 x GeForce RTX 2080 Ti,13.5086,43.5939,220.0452880859375,machine,N,1.0
2023-07-13T13:14:39,SuperYOLO,edcb4720-c8c2-42c1-a8f2-8fc32c26352c,40.959126234054565,0.0004036132985012,9.854050503784197e-06,74.63108884999613,0.0,82.51698303222658,0.0008459392834175,0.0,0.000938412776306,0.0017843520597236,Italy,ITA,the marches,,,Linux-5.4.0-104-generic-x86_64-with-glibc2.17,3.8.13,2.2.5,48,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,1 x GeForce RTX 2080 Ti,13.5086,43.5939,220.0452880859375,machine,N,1.0
2023-07-13T13:19:47,SuperYOLO,1c9ae61a-9802-426d-9952-d476549ad6bd,42.817524909973145,0.0004215203074178,9.844574349034564e-06,74.39444540370754,0.0,82.51698303222658,0.0008826622241847,0.0,0.0009808557311189,0.0018635179553036,Italy,ITA,the marches,,,Linux-5.4.0-104-generic-x86_64-with-glibc2.17,3.8.13,2.2.5,48,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,1 x GeForce RTX 2080 Ti,13.5086,43.5939,220.0452880859375,machine,N,1.0
2023-07-13T13:24:55,SuperYOLO,bc42ffa6-077a-4c59-8fc5-bec446315335,42.36833715438843,0.0004167316334395,9.835921384428794e-06,74.00090449934915,0.0,82.51698303222658,0.0008716549262122,0.0,0.0009706925664027,0.0018423474926149,Italy,ITA,the marches,,,Linux-5.4.0-104-generic-x86_64-with-glibc2.17,3.8.13,2.2.5,48,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,1 x GeForce RTX 2080 Ti,13.5086,43.5939,220.0452880859375,machine,N,1.0
2023-07-13T13:30:03,SuperYOLO,67f09d84-c0bb-4b3c-8b32-5e8aa403eae4,42.95289778709412,0.0004230755448192,9.84975558381044e-06,74.44537757413411,0.0,82.51698303222658,0.0008862786187445,0.0,0.0009841149550554,0.0018703935738,Italy,ITA,the marches,,,Linux-5.4.0-104-generic-x86_64-with-glibc2.17,3.8.13,2.2.5,48,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,1 x GeForce RTX 2080 Ti,13.5086,43.5939,220.0452880859375,machine,N,1.0
2023-07-13T13:35:10,SuperYOLO,d59ea5a6-8694-4b7c-b4a5-8ea66942e18c,40.3002507686615,0.0003969387110634,9.849534518829125e-06,74.53496215048351,0.0,82.51698303222658,0.0008316533858777,0.0,0.000923190692105,0.0017548440779828,Italy,ITA,the marches,,,Linux-5.4.0-104-generic-x86_64-with-glibc2.17,3.8.13,2.2.5,48,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,1 x GeForce RTX 2080 Ti,13.5086,43.5939,220.0452880859375,machine,N,1.0
2023-07-13T13:40:18,SuperYOLO,c8689a74-7250-4926-ac55-4881f01758b7,42.15649604797363,0.0004154503416332,9.854954291278277e-06,74.57675725280693,0.0,82.51698303222658,0.0008708566555736,0.0,0.0009658263168627,0.0018366829724364,Italy,ITA,the marches,,,Linux-5.4.0-104-generic-x86_64-with-glibc2.17,3.8.13,2.2.5,48,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,1 x GeForce RTX 2080 Ti,13.5086,43.5939,220.0452880859375,machine,N,1.0
2023-07-13T13:45:27,SuperYOLO,417f80fe-07cd-4990-9e45-0c9a7d4d2cd1,42.69928503036499,0.0004205369365687,9.848805109258172e-06,74.41778059802799,0.0,82.51698303222658,0.0008809212669586,0.0,0.0009782492602333,0.001859170527192,Italy,ITA,the marches,,,Linux-5.4.0-104-generic-x86_64-with-glibc2.17,3.8.13,2.2.5,48,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,1 x GeForce RTX 2080 Ti,13.5086,43.5939,220.0452880859375,machine,N,1.0
2023-07-13T13:50:30,SuperYOLO,536b3ce9-f20d-43ae-8d95-889fe212580c,37.16929817199707,0.0003671463957549,9.87767899345302e-06,74.82751808125609,0.0,82.51698303222658,0.0007715777911506,0.0,0.000851556109338,0.0016231339004886,Italy,ITA,the marches,,,Linux-5.4.0-104-generic-x86_64-with-glibc2.17,3.8.13,2.2.5,48,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,1 x GeForce RTX 2080 Ti,13.5086,43.5939,220.0452880859375,machine,N,1.0
